id,year,overall_pick,team,player,college,years_active,games,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
904,2005,2,ATL,Marvin Williams,UNC,15.0,1072.0,10965.0,5546.0,1373.0,0.443,0.361,0.808,10.2,5.2,1.3,65.1,0.104,-0.4,12.3
905,2005,3,UTA,Deron Williams,Illinois,12.0,845.0,13804.0,2619.0,6819.0,0.445,0.357,0.822,16.3,3.1,8.1,77.3,0.129,1.9,28.3
906,2005,4,NOH,Chris Paul,Wake Forest,17.0,1155.0,20936.0,5206.0,10977.0,0.473,0.369,0.871,18.1,4.5,9.5,198.9,0.239,7.3,93.7
907,2005,5,CHA,Raymond Felton,UNC,14.0,971.0,10853.0,2867.0,5096.0,0.412,0.329,0.79,11.2,3.0,5.2,40.2,0.067,-0.6,10.1
908,2005,6,POR,Martell Webster,,10.0,580.0,5056.0,1811.0,588.0,0.418,0.382,0.791,8.7,3.1,1.0,24.7,0.085,-0.8,4.3
909,2005,7,TOR,Charlie Villanueva,UConn,11.0,656.0,6808.0,3019.0,549.0,0.435,0.341,0.772,10.4,4.6,0.8,22.6,0.08,-0.6,4.7
910,2005,8,NYK,Channing Frye,Arizona,13.0,890.0,7786.0,4002.0,864.0,0.44,0.388,0.822,8.7,4.5,1.0,38.9,0.094,-0.4,8.0
911,2005,9,GSW,Ike Diogu,Arizona State,6.0,225.0,1348.0,689.0,69.0,0.509,0.5,0.786,6.0,3.1,0.3,6.5,0.112,-3.0,-0.7
912,2005,10,LAL,Andrew Bynum,,8.0,418.0,4822.0,3221.0,490.0,0.556,0.111,0.69,11.5,7.7,1.2,37.4,0.168,1.4,9.1
913,2005,11,ORL,Fran Vázquez,,,,,,,,,,,,,,,,
914,2005,12,LAC,Yaroslav Korolev,,2.0,34.0,39.0,16.0,13.0,0.283,0.25,0.625,1.1,0.5,0.4,-0.1,-0.024,-5.2,-0.1
915,2005,13,CHA,Sean May,UNC,4.0,119.0,821.0,481.0,115.0,0.458,0.231,0.746,6.9,4.0,1.0,2.6,0.068,-1.7,0.2
916,2005,14,MIN,Rashad McCants,UNC,4.0,249.0,2479.0,506.0,331.0,0.431,0.368,0.741,10.0,2.0,1.3,3.6,0.035,-1.7,0.4
917,2005,15,NJN,Antoine Wright,Texas A&M,6.0,297.0,1614.0,681.0,295.0,0.412,0.304,0.674,5.4,2.3,1.0,3.1,0.026,-3.7,-2.4
963,2006,1,TOR,Andrea Bargnani,,10.0,550.0,7873.0,2541.0,653.0,0.439,0.354,0.824,14.3,4.6,1.2,18.9,0.057,-1.6,1.5
964,2006,2,CHI,LaMarcus Aldridge,Texas,16.0,1076.0,20558.0,8736.0,2076.0,0.493,0.32,0.813,19.1,8.1,1.9,115.7,0.153,1.7,33.4
